feature,mu0,mu1,mu2,sep_12,mu0_entre_mu1_mu2,t_rel,sd0,sd1,sd2
dered_u,-0.11549368284166361,-0.6429058206565706,0.2319453690425978,0.8748511896991684,True,0.602859256551124,1.0408968289885685,0.6264597214742401,0.9998882796291348
modelMag_u,-0.10764984667850207,-0.6381434889164658,0.22923627365609187,0.8673797625725577,True,0.6116048184760214,1.0337679599757272,0.6337515759394229,1.0011649849917565
cModelMag_g,0.06714483869523798,-0.63264681012529,0.20260697397887792,0.835253784104168,True,0.8378191899735878,1.2017654966483897,0.7498742085437529,0.9543085887393488
cModelMag_u,-0.09637216634142025,-0.6113879507463137,0.21866586822479878,0.8300538189711124,True,0.6204607130695186,1.0034664201907433,0.6862783218314752,1.0020581675194595
petroMag_g,0.07602854018369694,-0.6098569162591561,0.19370573136365543,0.8035626476228115,True,0.8535556729421356,1.2774459174872526,0.7249758002366432,0.9536638228274067
dered_g,0.07072201550165168,-0.6058640749446047,0.1931193966384994,0.7989834715831041,True,0.846808619339359,1.2314733763017955,0.7551729458683173,0.9553579613213236
modelMag_g,0.07741882802095018,-0.6005327746990703,0.19038217483999906,0.7909149495390694,True,0.8571738378635,1.2289811828843542,0.7592874097699212,0.9563249977953182
z,-0.07576671943791527,-0.5553822052627344,0.19696508960218687,0.7523472948649212,True,0.6374921384025589,1.5198495460055457,0.3878098045872254,0.979624038036982
petroMag_u,-0.0750770611545988,-0.5117582362968432,0.18224005540653668,0.6939982917033799,True,0.6292251441576823,1.1449508730644595,0.8463310129141662,0.9654605681630246
cModelMag_r,0.16967842499151967,-0.5150667358824756,0.1486425705260452,0.6637093064085209,False,1.0316943792445885,1.141454053064006,0.9361955077453024,0.9414822019929165
petroMag_r,0.12642243140253723,-0.4968566995885495,0.148670483592252,0.6455271831808015,True,0.9655350653397916,1.19758420012993,0.94603894500091,0.932599805802646
dered_r,0.1747589273728196,-0.48830420218360654,0.13894859212391356,0.6272527943075201,False,1.057090754435682,1.1513566157582877,0.9488892531590982,0.9416786957347284
modelMag_r,0.1802060145061848,-0.48515953771247217,0.1371217690814436,0.6222813067939158,False,1.0692359628263903,1.145856912158482,0.9514873461695216,0.9424128852726842
mRrCc_r,0.0716292713519786,0.4554306730501245,-0.16286436164278909,0.6182950346929136,True,0.6207415233227083,0.4776762629221371,1.914469890182959,0.35136215810224747
cModelMag_i,0.2731017635784296,-0.46963381666691295,0.11874314192002874,0.5883769585869417,False,1.2623464760229763,1.2130843308078125,0.9536120018246959,0.9317775832282413
mRrCcErr_r,0.23326021468416533,0.40742950547677914,-0.16959499724589436,0.5770245027226735,True,0.30184037241191847,0.8729974663919287,1.5567330707692317,0.6835351687620054
petroMag_i,0.2415480193544219,-0.44142518019105914,0.11375909312458021,0.5551842733156394,False,1.2301738942759817,1.2316928337385207,0.968586273553839,0.9296718987106297
dered_i,0.3062680414590116,-0.4352888604687625,0.10252413492813617,0.5378129953968986,False,1.3788378270415635,1.4012237196474249,0.9372127956146605,0.9059559557281897
modelMag_i,0.309599518352512,-0.4330742750428385,0.10130916790676711,0.5343834429496056,False,1.3897769535973206,1.3993388571647492,0.938442828709885,0.9062720959385027
cModelMag_z,0.4348191387343084,-0.4385446548572124,0.08538700049349217,0.5239316553507045,False,1.6669422140697276,1.4036179251315832,0.968069272688307,0.8881994527768577
fiberMag_u,-0.11155566100463404,-0.358424757351679,0.13599965048046458,0.4944244078321436,True,0.49930604645807997,1.0070821773742713,0.632026093979029,1.066913386591376
modelMagErr_u,0.07302779422901402,-0.36710794587933593,0.112736832302251,0.47984477818158694,True,0.9172460764839042,1.25420208910495,0.12686431606604132,1.0920752036556869
dered_z,0.44865310430476035,-0.39774009435473373,0.06974343191324772,0.46748352626798145,False,1.8105305344477647,1.553522838762913,0.9449966149732892,0.8680506377888285
modelMag_z,0.4510818323117385,-0.39665735145944553,0.06903598652787403,0.46569333798731954,False,1.8203807411869553,1.548789311450857,0.9465663987672993,0.868711535235651
cModelMagErr_u,0.11871751518346013,-0.342597886936454,0.09803964383598661,0.4406375307724406,False,1.046927167804397,1.4126630146982653,0.18477588285297156,1.0653196058993826
psfMag_u,-0.022598634657906857,-0.2779003339484275,0.09638529502725139,0.3742856289756789,True,0.6821039322006942,1.0045202072166806,0.6619157701060576,1.0743457790725277
petroMag_z,0.6040786631925854,-0.34059448861278374,0.028542684266784246,0.369137172879568,False,2.5591385024600903,1.9994964239202835,0.8454885732255712,0.7651033297319824
psfMag_z,0.6371231917101821,0.18742033340601827,-0.15318794990744639,0.34060828331346465,False,-1.3202933702299262,1.3478233784491627,1.011626134819895,0.8873747588966778
psfMag_i,0.562035980139029,0.18433543665648985,-0.14150605349242532,0.32584149014891517,False,-1.1591542357295366,1.3283630656012093,0.9784847415449135,0.9129198317489798
fiberMag_g,0.14699835941911626,-0.2357958896316268,0.05821835220405013,0.2940142418356769,False,1.3019581863135896,1.1364229383646827,0.6915590227002374,1.0541802115260923
psfMag_r,0.44655955183546964,0.1474752742727139,-0.11277194126456391,0.2602472155372778,False,-1.1492314219204967,1.1196516877923754,0.9629453202844389,0.9712234292703905
petroMagErr_u,0.11464426842276804,-0.18165989733328894,0.044654279063620114,0.22631417639690904,False,1.3092602967849427,1.128243525708215,0.2220079857496734,1.1258327395363077
modelMagErr_r,0.4677493057290163,-0.19605203489720155,-0.000591021312143084,0.19546101358505846,False,3.396080519849307,2.681087747480733,0.2996198052416003,0.6274071341541079
fiberMagErr_u,-0.02658700949145146,-0.13761877594571506,0.04991405472800098,0.18753283067371604,True,0.5920657521959191,0.31980786908655723,0.06359290500142872,1.2054585163179439
score,-0.17611127942026686,0.14715403246601433,-0.02436821646298126,0.1715222489289956,False,1.8846844295989966,1.6804261327231298,0.6542272684334915,0.9620844265718629
psfMagErr_u,0.047187002622187814,-0.12232802596917693,0.03432571586894107,0.156653741838118,False,1.0821000928693887,0.6715507236279875,0.07469260917944141,1.185768494192457
