q,n,tasa_clase0_real,abs_P1_P2_medio
0,100.0,0.2,0.09243674988866736
1,100.0,0.17,0.2617576225521672
2,100.0,0.11,0.45759538792102006
3,100.0,0.17,0.5874113337757797
4,100.0,0.1,0.6840675566796789
5,100.0,0.08,0.7541333766482766
6,100.0,0.08,0.8127403276337488
7,100.0,0.02,0.8635026282642906
8,100.0,0.02,0.9030388812578458
9,100.0,0.01,0.9392819678520296
