w0,w1,w2,f1_macro,f1_0,rec_0,prec_0,f1_1,f1_2
0.5,1.0,0.5,0.5864967151999693,0.23076923076923078,0.1875,0.3,0.676056338028169,0.8526645768025078
0.5,1.0,0.55,0.5929862004936393,0.23376623376623376,0.1875,0.3103448275862069,0.6844919786096256,0.8607003891050584
0.5,1.0,0.6000000000000001,0.5951963736416243,0.23529411764705882,0.1875,0.3157894736842105,0.6869409660107334,0.8633540372670807
0.5,1.0,0.6500000000000001,0.5941724964907967,0.22666666666666666,0.17708333333333334,0.3148148148148148,0.6907775768535263,0.8650732459521974
0.5,1.0,0.7000000000000002,0.5933379524534906,0.22818791946308725,0.17708333333333334,0.32075471698113206,0.6861313868613139,0.8656945510360706
0.5,1.0,0.7500000000000002,0.5922668060359727,0.2206896551724138,0.16666666666666666,0.32653061224489793,0.6863468634686347,0.8697638994668697
0.5,1.0,0.8000000000000003,0.5944673470805876,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.6904315196998124,0.8707482993197279
0.5,1.0,0.8500000000000003,0.5853597937861402,0.19718309859154928,0.14583333333333334,0.30434782608695654,0.6892655367231638,0.8696307460437076
0.5,1.0,0.9000000000000004,0.589738611123369,0.2,0.14583333333333334,0.3181818181818182,0.6944971537001897,0.8747186796699175
0.5,1.0,0.9500000000000004,0.5911192609160235,0.2014388489208633,0.14583333333333334,0.32558139534883723,0.6959847036328872,0.8759342301943199
0.5,1.0,1.0000000000000004,0.5922427895919699,0.2014388489208633,0.14583333333333334,0.32558139534883723,0.697495183044316,0.8777943368107303
0.5,1.0,1.0500000000000005,0.5947387911524084,0.20437956204379562,0.14583333333333334,0.34146341463414637,0.7001934235976789,0.8796433878157504
0.5,1.0,1.1000000000000005,0.592995486930194,0.19402985074626866,0.13541666666666666,0.34210526315789475,0.703125,0.8818316100443131
0.5,1.0,1.1500000000000006,0.5885710230072717,0.18045112781954886,0.125,0.32432432432432434,0.7035573122529645,0.881704628949302
0.5,1.0,1.2000000000000006,0.5834264302006237,0.16666666666666666,0.11458333333333333,0.3055555555555556,0.7023809523809523,0.8812316715542522
0.5,1.0,1.2500000000000007,0.5841237219099814,0.16793893129770993,0.11458333333333333,0.3142857142857143,0.7023809523809523,0.882051282051282
0.5,1.0,1.3000000000000007,0.5864800008886558,0.16923076923076924,0.11458333333333333,0.3235294117647059,0.7068273092369478,0.8833819241982507
0.5,1.0,1.3500000000000008,0.5872553542068034,0.17054263565891473,0.11458333333333333,0.3333333333333333,0.7058823529411765,0.8853410740203193
0.5,1.0,1.4000000000000008,0.5811866678449393,0.15625,0.10416666666666667,0.3125,0.7032520325203252,0.8840579710144928
0.5,1.0,1.4500000000000008,0.576727922433526,0.144,0.09375,0.3103448275862069,0.7008196721311475,0.8853640951694304
0.5,1.0,1.5000000000000009,0.5729412887362524,0.12903225806451613,0.08333333333333333,0.2857142857142857,0.7039337474120083,0.8858578607322326
0.5,1.0,1.550000000000001,0.5729412887362524,0.12903225806451613,0.08333333333333333,0.2857142857142857,0.7039337474120083,0.8858578607322326
0.5,1.0,1.600000000000001,0.5744493873526132,0.12903225806451613,0.08333333333333333,0.2857142857142857,0.7068607068607069,0.8874551971326164
0.5,1.0,1.650000000000001,0.5725039717319146,0.12903225806451613,0.08333333333333333,0.2857142857142857,0.702928870292887,0.8855507868383404
0.5,1.0,1.700000000000001,0.5721424053492364,0.12903225806451613,0.08333333333333333,0.2857142857142857,0.7016806722689075,0.8857142857142857
0.5,1.0,1.750000000000001,0.5706508594361704,0.12903225806451613,0.08333333333333333,0.2857142857142857,0.6976744186046512,0.8852459016393442
0.5,1.0,1.8000000000000012,0.5707990203048107,0.13008130081300814,0.08333333333333333,0.2962962962962963,0.6965811965811965,0.8857345635202271
0.5,1.0,1.8500000000000012,0.5685158393728278,0.13008130081300814,0.08333333333333333,0.2962962962962963,0.6909871244635193,0.884479092841956
0.5,1.0,1.9000000000000012,0.5585545483748208,0.09917355371900827,0.0625,0.24,0.6924731182795699,0.884016973125884
0.5,1.0,1.9500000000000013,0.5587043170632446,0.1,0.0625,0.25,0.6911447084233261,0.884968242766408
