iter	MultiClass
136	0.6495147238
137	0.648043751
138	0.6467454525
139	0.6448936244
140	0.6439803909
141	0.6434476535
142	0.6419518292
143	0.640586626
144	0.640088875
145	0.6391838629
146	0.6380014215
147	0.637140078
148	0.6366754449
149	0.6354433211
150	0.6341891295
151	0.6330139262
152	0.6320056469
153	0.6314967731
154	0.6300437266
155	0.6280131608
156	0.6268447576
157	0.6254420217
158	0.6241640727
159	0.6229196833
160	0.6219633142
161	0.6213270828
162	0.6209967567
163	0.6197023277
164	0.6186126374
165	0.6177174804
166	0.6168288143
167	0.6157741516
168	0.6153407188
169	0.6144927764
170	0.6135760661
171	0.6125270129
172	0.6110155274
173	0.6104328907
174	0.609519369
175	0.6081022513
176	0.6072856191
177	0.6061597464
178	0.6054080809
179	0.6042910584
180	0.6035559683
181	0.6024490446
182	0.6014691328
183	0.6008536424
184	0.5996744755
185	0.5979615601
186	0.5965175358
187	0.595545639
188	0.593246427
189	0.5919530446
190	0.5907433324
191	0.5898386435
192	0.5887257422
193	0.5877360673
194	0.5866825322
195	0.585475592
196	0.583930018
197	0.5830350155
198	0.5817180326
199	0.5798572653
200	0.5789555924
201	0.5775950738
202	0.5764808812
203	0.5752466759
204	0.5740555179
205	0.5735223494
206	0.5726602549
207	0.5714263383
208	0.5710389565
209	0.5698348013
210	0.5690614762
211	0.5678884754
212	0.5666995082
213	0.5661069296
214	0.5648678504
215	0.5638775864
216	0.5631351713
217	0.5623050368
218	0.5614368999
219	0.5601834433
220	0.5593656383
221	0.5586041231
222	0.5575755275
223	0.5568846717
224	0.5555443554
225	0.5537643448
226	0.5521513797
227	0.5514467242
228	0.550546146
229	0.5495627821
230	0.548611682
231	0.5477303833
232	0.5462702517
233	0.5453366497
234	0.5440560885
235	0.5421909569
236	0.5409618272
237	0.5402454205
238	0.5393929242
239	0.5384844194
240	0.5372228612
241	0.5364331927
242	0.5353220707
243	0.5338335262
244	0.5328477548
245	0.5320932948
246	0.5314944887
247	0.5304778795
248	0.5289520603
249	0.528118193
250	0.5272324631
251	0.5259304612
252	0.5251310953
253	0.5242723288
254	0.5235243328
255	0.5224156043
256	0.5213566923
257	0.5202097067
258	0.5190106573
259	0.5178120064
260	0.5164762497
261	0.5154626387
262	0.5147087047
263	0.5135890251
264	0.5124421935
265	0.511654537
266	0.5107323539
267	0.5100520505
268	0.5091044704
269	0.5079894879
270	0.5074171658
271	0.5061876815
272	0.5051277703
273	0.5042110213
274	0.5033238572
275	0.5025336099
276	0.5014062844
277	0.5004788441
278	0.498991977
279	0.4978465809
280	0.4965977232
281	0.4956443324
282	0.494580347
283	0.4927219934
284	0.4920498058
285	0.491145781
286	0.4904912293
287	0.489508375
288	0.4881678332
289	0.4868590886
290	0.4857759562
291	0.4850840449
292	0.4840965365
293	0.4833942781
294	0.4821437356
295	0.481079857
296	0.4800412894
297	0.4786961026
298	0.4774998841
299	0.4768138618
300	0.4756149584
301	0.4748122634
302	0.473692145
303	0.4724685158
304	0.4711391171
305	0.4706430889
306	0.4698031288
307	0.468824715
308	0.4677992744
309	0.4666843797
310	0.4659816657
311	0.4653810568
312	0.464574751
313	0.4637130645
314	0.4624712109
315	0.4615282242
316	0.4601485423
317	0.4593562947
318	0.4587222976
319	0.4580606051
320	0.4567504228
321	0.4553640596
322	0.4542919986
323	0.453567167
324	0.4527975216
325	0.4520049596
326	0.4510861112
327	0.4502834927
328	0.4494482673
329	0.4484805155
330	0.4472259284
331	0.4462575868
332	0.4452684769
333	0.4441786302
334	0.4428273195
335	0.4418031103
336	0.4411892248
337	0.4401225463
338	0.4392238098
339	0.4383166544
340	0.4374590395
341	0.4367221961
342	0.435892234
343	0.4350827084
344	0.4333289108
345	0.4328043519
346	0.4316523555
347	0.4312705216
348	0.4300102458
349	0.4287908941
350	0.4279550563
351	0.4264346588
352	0.4258581472
353	0.42511187
354	0.424444599
355	0.4234919332
356	0.4225912202
357	0.4217428051
358	0.4204947073
359	0.4198186672
360	0.4189889837
361	0.4177817351
362	0.4170136432
363	0.4161549804
364	0.4154340305
365	0.4146572312
366	0.4134702362
