iter	MultiClass
0	1.086027342
1	1.076170575
2	1.065154189
3	1.056337559
4	1.048811478
5	1.03736736
6	1.028060195
7	1.020136803
8	1.012281107
9	1.00372811
10	0.9940385616
11	0.9864866378
12	0.9812878649
13	0.9743148713
14	0.9671388582
15	0.9593141172
16	0.952373498
17	0.9456212049
18	0.9388957849
19	0.932139271
20	0.9268512722
21	0.9198455811
22	0.9131558174
23	0.907896805
24	0.9041910456
25	0.898891694
26	0.8935892093
27	0.8892230693
28	0.8845043506
29	0.8794498804
30	0.8758265536
31	0.8717679133
32	0.8675314418
33	0.8635488849
34	0.8593253949
35	0.8553185592
36	0.8512564605
37	0.8485481652
38	0.8446896153
39	0.840896495
40	0.8365377009
41	0.8329452093
42	0.8288698325
43	0.8258865063
44	0.8229227464
45	0.8204137017
46	0.8162916001
47	0.8128530081
48	0.8094736433
49	0.8063411569
50	0.80355426
51	0.8011415689
52	0.7979258738
53	0.7960232156
54	0.7923608169
55	0.7887336405
56	0.7873435512
57	0.7837964231
58	0.7809564144
59	0.778824309
60	0.7764174195
61	0.7738845892
62	0.7708744487
63	0.7683148948
64	0.7656950044
65	0.7634734425
66	0.7616590071
67	0.7587838417
68	0.7568894964
69	0.7548776634
70	0.7522516697
71	0.7508503411
72	0.7481344346
73	0.7458549557
74	0.7441983987
75	0.7418986935
76	0.7402043636
77	0.7379947361
78	0.736023086
79	0.7340858859
80	0.7316853918
81	0.7296653417
82	0.727649115
83	0.7259102393
84	0.7246667131
85	0.7226416387
86	0.721346299
87	0.7193937592
88	0.7177146191
89	0.7162334872
90	0.713994192
91	0.7124673259
92	0.711406285
93	0.7098758055
94	0.7083406975
95	0.7069068234
96	0.704794236
97	0.7024029522
98	0.7013919122
99	0.6999157037
100	0.6987732139
101	0.6972349083
102	0.6957281952
103	0.6939823517
104	0.691523233
105	0.6902978763
106	0.6887778567
107	0.6875536997
108	0.6852813353
109	0.6842179128
110	0.6830860509
111	0.6822040741
112	0.680317574
113	0.6788827123
114	0.6771069129
115	0.6762408782
116	0.6743615407
117	0.6732989492
118	0.6719724475
119	0.6704246949
120	0.6696043331
121	0.6684844143
122	0.6672615641
123	0.6661803804
124	0.6645932521
125	0.6637054715
126	0.6628216869
127	0.6609633711
128	0.6597292259
129	0.6580502411
130	0.6568273766
131	0.6549683593
132	0.6537960311
133	0.6529086566
134	0.6516343725
135	0.6506455257
