w0,w1,w2,f1_macro,f1_0,rec_0,prec_0,f1_1,f1_2
1.9000000000000012,1.0,1.0000000000000004,0.6338838880116012,0.3557312252964427,0.46875,0.28662420382165604,0.6963906581740976,0.8495297805642633
2.2500000000000018,1.0,1.2000000000000006,0.6319559134393334,0.3574144486692015,0.4895833333333333,0.281437125748503,0.6859688195991092,0.8524844720496895
2.3500000000000014,1.0,1.2500000000000007,0.6316670258215239,0.3609022556390977,0.5,0.2823529411764706,0.6816143497757847,0.8524844720496895
2.5500000000000016,1.0,1.0500000000000005,0.6199296483588519,0.3402777777777778,0.5104166666666666,0.2552083333333333,0.6814159292035398,0.8380952380952381
2.450000000000002,1.0,1.0000000000000004,0.6195766389264842,0.34265734265734266,0.5104166666666666,0.2578947368421053,0.6798245614035088,0.8362480127186009
2.4000000000000017,1.0,0.9000000000000004,0.617378097762011,0.34576271186440677,0.53125,0.2562814070351759,0.6767895878524945,0.8295819935691319
2.4000000000000017,1.0,0.7000000000000002,0.5992847177908165,0.32298136645962733,0.5416666666666666,0.23008849557522124,0.6708860759493671,0.8039867109634552
2.5000000000000018,1.0,0.6500000000000001,0.5907578447403665,0.30903790087463556,0.5520833333333334,0.2145748987854251,0.6778242677824268,0.7854113655640373
2.450000000000002,1.0,0.6000000000000001,0.5853765833013626,0.3050847457627119,0.5625,0.20930232558139536,0.6764091858037579,0.7746358183376179
2.5000000000000018,1.0,0.5,0.5821550535385412,0.3191489361702128,0.625,0.21428571428571427,0.6694214876033058,0.7578947368421053
