nombre,w0,w1,w2,f1_macro,prec_0,rec_0,f1_0,f1_1,f1_2,n_pred_0
"A argmax [1,1,1]",1.0,1.0,1.0,0.6162702720306171,0.3048780487804878,0.2604166666666667,0.2808988764044944,0.6984126984126984,0.8694992412746586,82
"B declarado macro [1.7,0.9,0.9]",1.7,0.9,0.9,0.6338838880116012,0.28662420382165604,0.46875,0.3557312252964427,0.6963906581740976,0.8495297805642633,157
"C declarado clase0 [1.9,0.8,1.0]",1.9,0.8,1.0,0.6316670258215239,0.2823529411764706,0.5,0.3609022556390977,0.6816143497757847,0.8524844720496895,170
D1 MEJOR F1-MACRO,1.9000000000000012,1.0,1.0000000000000004,0.6338838880116012,0.28662420382165604,0.46875,0.3557312252964427,0.6963906581740976,0.8495297805642633,157
D2 MAX F1-CLASE0 con F1m >= best-0.005,2.3500000000000014,1.0,1.2500000000000007,0.6316670258215239,0.2823529411764706,0.5,0.3609022556390977,0.6816143497757847,0.8524844720496895,170
D3 MAX RECALL-0 con F1m >= best-0.005,2.3500000000000014,1.0,1.2500000000000007,0.6316670258215239,0.2823529411764706,0.5,0.3609022556390977,0.6816143497757847,0.8524844720496895,170
D4 MEJOR COMPROMISO macro/clase0,2.3500000000000014,1.0,1.2500000000000007,0.6316670258215239,0.2823529411764706,0.5,0.3609022556390977,0.6816143497757847,0.8524844720496895,170
