modelo,feature,FN_0a1,FN_0a2,TP_0,dif_TP_menos_FN1,dif_TP_menos_FN2,max_abs_dif
CatBoost(bal),petroMag_color_r_z,-0.27865708760952845,0.09972674504140269,-2.5138712660308213,-2.235214178421293,-2.613598011072224,2.613598011072224
CatBoost(bal),petroMag_color_i_z,-0.147567050335489,0.058521663407458034,-2.453589492055294,-2.3060224417198047,-2.512111155462752,2.512111155462752
CatBoost(bal),petro_minus_model_z,0.030701215177351002,-0.10706875123056238,2.1375338409128233,2.106832625735472,2.244602592143386,2.244602592143386
CatBoost(bal),petroMag_z,-0.09175798820957305,0.3298735235492396,1.9911313383445122,2.0828893265540853,1.6612578147952726,2.0828893265540853
CatBoost(bal),modelMagErr_z,0.003848497697290571,-0.028132776051782885,2.0546437473808896,2.050795249683599,2.0827765234326727,2.0827765234326727
CatBoost(bal),psfMagErr_i,-0.023109442874719627,0.3617498548774327,2.0160622774031833,2.039171720277903,1.6543124225257506,2.039171720277903
CatBoost(bal),cModelMag_color_r_z,-0.3702333510898067,0.05849670038832832,-1.8926854626278606,-1.5224521115380538,-1.951182163016189,1.951182163016189
CatBoost(bal),petroMagErr_g,-0.10894610393208673,0.2259024234811512,1.8392581044641665,1.9482042083962532,1.6133556809830152,1.9482042083962532
CatBoost(bal),dered_color_r_z,-0.35283467605741237,0.08755244319488639,-1.8272236211904767,-1.4743889451330643,-1.914776064385363,1.914776064385363
CatBoost(bal),fiberMagErr_i,-0.03289462819871116,0.43881274841988294,1.86095394622511,1.8938485744238212,1.422141197805227,1.8938485744238212
CatBoost(bal),modelMag_color_r_z,-0.3396833290035036,0.08232998132928449,-1.8110104131179272,-1.4713270841144235,-1.8933403944472116,1.8933403944472116
CatBoost(bal),psfMagErr_g,-0.07487215862945423,0.048700668212134195,1.7515677640210572,1.8264399226505115,1.702867095808923,1.8264399226505115
CatBoost(bal),fiber_minus_model_z,0.8699767443496929,-0.37732819351198366,-0.9437983554836604,-1.8137750998333533,-0.5664701619716768,1.8137750998333533
CatBoost(bal),fiberMagErr_g,-0.12569888760290224,0.03128790282521565,1.677015836142196,1.8027147237450982,1.6457279333169805,1.8027147237450982
CatBoost(bal),cModelMagErr_g,-0.1133132175825729,0.04448221536714937,1.6376006713909572,1.75091388897353,1.5931184560238079,1.75091388897353
CatBoost(bal),cModelMag_color_i_z,-0.15837987768027917,0.027004269811186626,-1.6917080337983645,-1.5333281561180854,-1.718712303609551,1.718712303609551
